20985842,,,25147241,20834062,24992644,25079423,22977697,24453801,26870729,22074747,30068323,25197707,24136512,1788828,22294845,18215259,28240533,23082389,17497700,16776681,26806352,15683827,11742992,26130152,23890887,2194564,19775075,22092313,27263910,24629765,22296561,21534062,25994097,24773289,33677674,15824438,23505904,1967572,26967285,21266960,28119053,20379209,17882257,26559774,21929874,20121273,28357694,31689744,23089645,1865265,21116252,20780274,20143124,29872577,24533925,18225646,20998085,18126343,27554253,11156267,21950958,2174761,29320196,23010009,26831465,20547429,25795396,25829657,17621237,26596499,17411652,12600957,22946481,2801010,23755307,29515809,28957174,20085499,22623777,16468466,25806637,25025086,20976305,15694972,22480625,2949179,24387674,25374275,29787465,22437040,23359844,23102493,23266237,17841377,20789548,24091097,23110745,3428593,23587415,29024077,15289318,21217705,22273829,2116960,23910334,26490611,21017491,29466878,36727880,17264214,22203667,12888050,10102720,22316323,23665668,2329748,22404470,18337284,26450049,18548698,20443971,20553642,23742896,20599452,31848971,9012309,24370065,2601993,28322344,25937647,19535990,17428339,18223792,22607148,29024678,26298159,15836833,24079385,22547004,1962387,21206658,29065484,26532992,19814501,19128261,25026918,30788696,17362808,21987108,22236898,22254280,2867171,25347466,23668822,24729951,19054697,17585525,25161659,21417410,23999844,23053412,29118543,23520540,27405549,22139663,24563976,25924030,20455608,22309471,1393405,16744210,21724608,19935403,24134398,14054079,17553081,20846355,20882070,21774264,22667492,22976722,1426896
,,Data file Names,Karla1358_posCSH_D12C23A,Karla1359_posCSH_D14C14A,Karla1360_posCSH_D11P112T,Karla1361_posCSH_D11C16B,Karla1362_posCSH_D13C26A,Karla1363_posCSH_D12P14A,Karla1364_posCSH_D12C18A,Karla1365_posCSH_D12P24A,Karla1366_posCSH_D11B212C,Karla1367_posCSH_D11C110C,Karla1368_posCSH_Pool1,Karla1369_posCSH_Blank29,Karla1370_posCSH_D12P110A,Karla1371_posCSH_D14B23A,Karla1372_posCSH_D12B28A,Karla1373_posCSH_D11P110C,Karla1374_posCSH_D13B23A,Karla1375_posCSH_D13B14A,Karla1376_posCSH_D12B210A,Karla1377_posCSH_D11C18B,Karla1378_posCSH_D13P14A,Karla1379_posCSH_D12C110A,Karla1380_posCSH_Pool1,Karla1381_posCSH_Blank10,Karla1382_posCSH_D11C26T,Karla1383_posCSH_D12B112A,Karla1384_posCSH_D11B18T,Karla1385_posCSH_D11B24C,Karla1386_posCSH_D11B16T,Karla1387_posCSH_D11P26T,Karla1388_posCSH_D11P26C,Karla1389_posCSH_D11C14C,Karla1390_posCSH_D11C112C,Karla1391_posCSH_D11P16C,Karla1392_posCSH_Pool1,Karla1393_posCSH_Blank20,Karla1394_posCSH_D11B28T,Karla1395_posCSH_D13C13A,Karla1396_posCSH_D12B18A,Karla1397_posCSH_D13B16A,Karla1398_posCSH_D14P23A,Karla1399_posCSH_D11P210T,Karla1400_posCSH_D11C210B,Karla1401_posCSH_D11C16C,Karla1402_posCSH_D11B28C,Karla1403_posCSH_D11P212T,Karla1404_posCSH_Pool1,Karla1405_posCSH_Blank18,Karla1406_posCSH_D12P13A,Karla1407_posCSH_D11C26C,Karla1408_posCSH_D13C24A,Karla1409_posCSH_D11P28B,Karla1410_posCSH_D14P26A,Karla1411_posCSH_D11P18B,Karla1412_posCSH_D14C13A,Karla1413_posCSH_D12B23A,Karla1414_posCSH_D13C28A,Karla1415_posCSH_D13P23A,Karla1416_posCSH_Pool1,Karla1417_posCSH_Blank15,Karla1418_posCSH_D12C212A,Karla1419_posCSH_D11B28B,Karla1420_posCSH_D11B26C,Karla1421_posCSH_D14P24A,Karla1422_posCSH_D12B110A,Karla1423_posCSH_D11P28C,Karla1424_posCSH_D11B212B,Karla1425_posCSH_D11B210T,Karla1426_posCSH_D13B24A,Karla1427_posCSH_D12B212A,Karla1428_posCSH_Pool1,Karla1429_posCSH_Blank14,Karla1430_posCSH_D11C210T,Karla1431_posCSH_D12C210A,Karla1432_posCSH_D11C112B,Karla1433_posCSH_D12P28A,Karla1434_posCSH_D11B16B,Karla1435_posCSH_D12B14A,Karla1436_posCSH_D12P210A,Karla1437_posCSH_D11C18T,Karla1438_posCSH_D12B24A,Karla1439_posCSH_D14C16A,Karla1440_posCSH_Pool1,Karla1441_posCSH_Blank22,Karla1442_posCSH_D11P26B,Karla1443_posCSH_D11P210B,Karla1444_posCSH_D11C212C,Karla1445_posCSH_D11P28T,Karla1446_posCSH_D11P112B,Karla1447_posCSH_D11B110B,Karla1448_posCSH_D11B112T,Karla1449_posCSH_D14P13A,Karla1450_posCSH_D14C24A,Karla1451_posCSH_D14B24A,Karla1452_posCSH_Pool1,Karla1453_posCSH_Blank21,Karla1454_posCSH_D14C23A,Karla1455_posCSH_D12C26A,Karla1456_posCSH_D13B13A,Karla1457_posCSH_D13C23A,Karla1458_posCSH_Pool1,Karla1459_posCSH_Blank13,Karla1460_posCSH_D12P18A,Karla1461_posCSH_D11P212B,Karla1462_posCSH_D11B14T,Karla1463_posCSH_D11B18C,Karla1464_posCSH_D11P212C,Karla1465_posCSH_D11P18T,Karla1466_posCSH_D11B14C,Karla1467_posCSH_D11P16T,Karla1468_posCSH_D11P16B,Karla1469_posCSH_D11C28C,Karla1470_posCSH_Pool2,Karla1471_posCSH_Blank26,Karla1472_posCSH_D12C13A,Karla1473_posCSH_D11P18C,Karla1474_posCSH_D12C112A,Karla1475_posCSH_D11B112B,Karla1476_posCSH_D13P28A,Karla1477_posCSH_D11B26T,Karla1478_posCSH_D11B18B,Karla1479_posCSH_D11B210B,Karla1480_posCSH_D11P210C,Karla1481_posCSH_D13P13A,Karla1482_posCSH_Pool2,Karla1483_posCSH_Blank31,Karla1484_posCSH_D12C28A,Karla1485_posCSH_D11B212T,Karla1486_posCSH_D13B26A,Karla1487_posCSH_D11P110T,Karla1488_posCSH_D11C28B,Karla1489_posCSH_D11C212B,Karla1490_posCSH_D11B110C,Karla1491_posCSH_D12B16A,Karla1492_posCSH_D11C28T,Karla1493_posCSH_D11P112C,Karla1494_posCSH_Pool2,Karla1495_posCSH_Blank7,Karla1496_posCSH_D11P110B,Karla1497_posCSH_D11B112C,Karla1498_posCSH_D11C110T,Karla1499_posCSH_D14B14A,Karla1500_posCSH_D13P26A,Karla1501_posCSH_D14C26A,Karla1502_posCSH_D11C110B,Karla1503_posCSH_D11C14T,Karla1504_posCSH_D13P16A,Karla1505_posCSH_D12C24A,Karla1506_posCSH_Pool2,Karla1507_posCSH_Blank33,Karla1508_posCSH_D12C16A,Karla1509_posCSH_D11C18C,Karla1510_posCSH_D11B210C,Karla1511_posCSH_D12P23A,Karla1512_posCSH_D11C26B,Karla1513_posCSH_D12B13A,Karla1514_posCSH_D12C14A,Karla1515_posCSH_D11C16T,Karla1516_posCSH_D13C18A,Karla1517_posCSH_D11C112T,Karla1518_posCSH_D13P24A,Karla1519_posCSH_D11B16C,Karla1520_posCSH_D11B110T,Karla1521_posCSH_D13C16A,Karla1522_posCSH_D11C14B,Karla1523_posCSH_D12P26A,Karla1524_posCSH_Pool2,Karla1525_posCSH_Blank17,Karla1526_posCSH_D14B13A,Karla1527_posCSH_D11B26B,Karla1528_posCSH_D12P16A,Karla1529_posCSH_D12B26A,Karla1530_posCSH_D11B14B,Karla1531_posCSH_D12P112A,Karla1532_posCSH_D13P18A,Karla1533_posCSH_D11C210C,Karla1534_posCSH_D14P14A,Karla1535_posCSH_D11C212T,Karla1536_posCSH_Pool2,Karla1537_posCSH_Blank16
,,SampleLabel,L001,L002,L003,L004,L005,L006,L007,L008,L009,L010,L011,L012,L013,L014,L015,L016,L017,L018,L019,L020,L021,L022,L023,L024,L025,L026,L027,L028,L029,L030,L031,L032,L033,L034,L035,L036,L037,L038,L039,L040,L041,L042,L043,L044,L045,L046,L047,L048,L049,L050,L051,L052,L053,L054,L055,L056,L057,L058,L059,L060,L061,L062,L063,L064,L065,L066,L067,L068,L069,L070,L071,L072,L073,L074,L075,L076,L077,L078,L079,L080,L081,L082,L083,L084,L085,L086,L087,L088,L089,L090,L091,L092,L093,L094,L095,L096,L097,L098,L099,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L110,L111,L112,L113,L114,L115,L116,L117,L118,L119,L120,L121,L122,L123,L124,L125,L126,L127,L128,L129,L130,L131,L132,L133,L134,L135,L136,L137,L138,L139,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L150,L151,L152,L153,L154,L155,L156,L157,L158,L159,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L180
,InchiKeys,TimeStamp,2016-10-03T21:17:30Z,2016-10-03T21:32:44Z,2016-10-03T21:47:56Z,2016-10-03T22:03:09Z,2016-10-03T22:18:21Z,2016-10-03T22:33:34Z,2016-10-03T22:48:46Z,2016-10-03T23:03:59Z,2016-10-03T23:19:14Z,2016-10-03T23:34:29Z,2016-10-03T23:49:45Z,2016-10-04T00:05:00Z,2016-10-04T00:20:12Z,2016-10-04T00:35:24Z,2016-10-04T00:50:37Z,2016-10-04T01:05:50Z,2016-10-04T01:21:05Z,2016-10-04T01:36:20Z,2016-10-04T01:51:35Z,2016-10-04T02:06:48Z,2016-10-04T02:22:00Z,2016-10-04T02:37:15Z,2016-10-04T02:52:26Z,2016-10-04T03:07:40Z,2016-10-04T03:22:52Z,2016-10-04T03:38:06Z,2016-10-04T03:53:18Z,2016-10-04T04:08:31Z,2016-10-04T04:23:46Z,2016-10-04T04:39:01Z,2016-10-04T04:54:13Z,2016-10-04T05:09:26Z,2016-10-04T05:24:41Z,2016-10-04T05:39:56Z,2016-10-04T05:55:08Z,2016-10-04T06:10:22Z,2016-10-04T06:25:37Z,2016-10-04T06:40:49Z,2016-10-04T06:56:02Z,2016-10-04T07:11:15Z,2016-10-04T07:26:28Z,2016-10-04T07:41:43Z,2016-10-04T07:56:59Z,2016-10-04T08:12:14Z,2016-10-04T08:27:29Z,2016-10-04T08:42:44Z,2016-10-04T08:57:59Z,2016-10-04T09:13:11Z,2016-10-04T09:28:24Z,2016-10-04T09:43:37Z,2016-10-04T09:58:49Z,2016-10-04T10:14:05Z,2016-10-04T10:29:20Z,2016-10-04T10:44:35Z,2016-10-04T10:59:50Z,2016-10-04T11:15:02Z,2016-10-04T11:30:16Z,2016-10-04T11:45:27Z,2016-10-04T12:00:41Z,2016-10-04T12:15:53Z,2016-10-04T12:31:07Z,2016-10-04T12:46:19Z,2016-10-04T13:01:32Z,2016-10-04T13:16:44Z,2016-10-04T13:31:57Z,2016-10-04T13:47:10Z,2016-10-04T14:02:23Z,2016-10-04T14:17:39Z,2016-10-04T14:32:51Z,2016-10-04T14:48:04Z,2016-10-04T15:03:16Z,2016-10-04T15:18:29Z,2016-10-04T15:33:41Z,2016-10-04T15:48:55Z,2016-10-04T16:04:10Z,2016-10-04T16:19:25Z,2016-10-04T16:34:40Z,2016-10-04T16:49:52Z,2016-10-04T17:05:05Z,2016-10-04T17:20:20Z,2016-10-04T17:35:32Z,2016-10-04T17:50:45Z,2016-10-04T18:05:57Z,2016-10-04T18:21:11Z,2016-10-04T18:36:23Z,2016-10-04T18:51:37Z,2016-10-04T19:06:52Z,2016-10-04T19:22:04Z,2016-10-04T19:37:17Z,2016-10-04T19:52:32Z,2016-10-04T20:07:48Z,2016-10-04T20:23:03Z,2016-10-04T20:38:18Z,2016-10-04T20:53:33Z,2016-10-04T21:08:48Z,2016-10-04T21:24:03Z,2016-10-04T21:39:19Z,2016-10-04T21:54:33Z,2016-10-04T22:09:46Z,2016-10-04T22:24:59Z,2016-10-04T22:40:11Z,2016-10-04T22:55:24Z,2016-10-04T23:10:39Z,2016-10-04T23:25:51Z,2016-10-04T23:41:04Z,2016-10-04T23:56:16Z,2016-10-05T00:11:29Z,2016-10-05T00:26:41Z,2016-10-05T00:41:54Z,2016-10-05T00:57:06Z,2016-10-05T01:12:20Z,2016-10-05T01:27:35Z,2016-10-05T01:42:51Z,2016-10-05T01:58:06Z,2016-10-05T02:13:21Z,2016-10-05T02:28:36Z,2016-10-05T02:43:48Z,2016-10-05T02:59:01Z,2016-10-05T03:14:17Z,2016-10-05T03:29:31Z,2016-10-05T03:44:44Z,2016-10-05T03:59:57Z,2016-10-05T04:15:12Z,2016-10-05T04:30:27Z,2016-10-05T04:45:39Z,2016-10-05T05:00:52Z,2016-10-05T05:16:04Z,2016-10-05T05:31:17Z,2016-10-05T05:46:32Z,2016-10-05T06:01:44Z,2016-10-05T06:16:57Z,2016-10-05T06:32:12Z,2016-10-05T06:47:27Z,2016-10-05T07:02:39Z,2016-10-05T07:17:53Z,2016-10-05T07:33:08Z,2016-10-05T07:48:23Z,2016-10-05T08:03:38Z,2016-10-05T08:18:53Z,2016-10-05T08:34:05Z,2016-10-05T08:49:19Z,2016-10-05T09:04:34Z,2016-10-05T09:19:45Z,2016-10-05T09:34:59Z,2016-10-05T09:50:14Z,2016-10-05T10:05:26Z,2016-10-05T10:20:39Z,2016-10-05T10:35:54Z,2016-10-05T10:51:09Z,2016-10-05T11:06:24Z,2016-10-05T11:21:39Z,2016-10-05T11:36:55Z,2016-10-05T11:52:10Z,2016-10-05T12:07:25Z,2016-10-05T12:22:37Z,2016-10-05T12:37:50Z,2016-10-05T12:53:02Z,2016-10-05T13:08:15Z,2016-10-05T13:23:27Z,2016-10-05T13:38:40Z,2016-10-05T13:53:53Z,2016-10-05T14:09:06Z,2016-10-05T14:24:21Z,2016-10-05T14:39:36Z,2016-10-05T14:54:51Z,2016-10-05T15:10:06Z,2016-10-05T15:25:19Z,2016-10-05T15:40:31Z,2016-10-05T15:55:43Z,2016-10-05T16:10:56Z,2016-10-05T16:26:11Z,2016-10-05T16:41:26Z,2016-10-05T16:56:42Z,2016-10-05T17:11:57Z,2016-10-05T17:27:12Z,2016-10-05T17:42:27Z,2016-10-05T17:57:42Z,2016-10-05T18:12:57Z,2016-10-05T18:28:09Z,2016-10-05T18:43:23Z
Acylcarnitine_12:1,,,1400,2104,2570,4171,9684,512,41240,813,95333,35595,23706,290,16640,5091,12712,2718,1178,7420,47234,2851,0,47517,23133,0,1835,117381,17055,3232,5802,1753,1491,5984,93794,0,24072,0,13208,1628,15561,37922,0,11597,12046,2476,69484,29002,21946,204,426,2532,754,9670,32554,1249,1476,7021,21813,0,22813,0,84273,11753,10036,1453,70393,2887,30040,13686,938,48100,22826,0,13746,41144,236760,4650,5701,0,18992,7685,9245,51865,22318,0,0,5935,248850,0,4622,19883,19840,0,10647,44122,21831,0,4716,5291,1094,743,22115,259,5958,9652,3555,20299,20226,1245,2067,604,275,9137,26305,0,6209,1191,134086,23308,5483,10490,24933,17887,2348,0,27972,351,24190,75702,96409,0,3203,154352,37131,5481,2151,7596,27523,0,3345,59182,259124,35499,779,90775,128713,2516,3076,1794,25820,0,20395,33852,10706,708,3291,10523,12852,9443,48131,12771,0,9374,177639,46082,4068,2819,25574,0,1180,21296,707,41593,2324,6297,1734,42794,586,91960,26598,0
Acylcarnitine 15:3,,,0,1301,12728,9176,8913,1764,0,1205,35242,8723,42865,140,27071,1513,8458,1028,1271,18840,38034,9242,1023,79485,41370,337,0,227746,469,400,28802,2902,1717,0,42472,505,39746,448,535,475,9500,144160,969,137,126925,16988,4768,7527,37021,623,0,0,1554,2000,92163,626,366,11141,54035,239,38408,827,42708,14744,0,11985,15611,2361,280697,9655,2396,263635,38648,486,9308,31196,68318,10107,1234,0,31524,24537,32716,470605,35901,141,393,0,76948,573,31030,168290,38853,0,12978,75873,35727,1613,18190,33856,1184,970,37918,139,0,7355,0,0,6659,2346,737,472,529,0,40317,554,0,2456,230481,280259,7383,4236,21968,178477,8358,71,41075,203,9206,6876,326396,12120,3496,431677,14425,11591,0,6369,38931,448,8078,18614,3923,102750,218,313286,76850,0,6211,2377,36369,43,8719,6330,22636,2009,0,3971,0,0,58182,44983,6006,1159,13758,5940,0,764,36082,621,6137,0,1347,4189,0,73997,1213,4681,459,84313,36958,293
BMP_15:1_22:6,,,0,0,2086,0,2737,0,0,0,4439,2157,4100,0,2530,570,0,1801,0,0,0,0,0,5531,4130,0,1478,6594,0,0,0,0,0,1844,4923,0,1301,0,3098,0,0,0,1552,0,6588,0,0,0,218,0,0,736,1075,0,6780,53,891,0,11731,0,106,0,12044,0,0,6675,0,0,2536,491,2094,8322,372,0,11285,15296,618,1579,0,0,2965,2172,0,14540,3774,0,0,738,3817,0,6123,437,5799,0,9264,3978,587,0,0,0,2559,1468,1267,0,2503,7926,0,5903,9245,1126,0,0,0,3241,3080,0,0,1927,25159,2268,1588,0,3940,5909,2478,0,0,0,3230,8747,762,1793,1795,8295,4570,0,0,1148,611,0,451,816,4696,0,0,8916,770,1439,3489,1306,0,0,4471,0,3701,0,2485,0,2697,3158,5850,2164,0,2472,3217,8301,1459,2619,2329,0,1325,0,0,0,0,7658,6367,6160,611,7175,2763,0
CE_20:3,MLPRJPSMAFZPLA-PJSAOELNSA-N,,5552,1295,11428,11315,4754,6128,4363,0,1537,1904,1069,0,0,0,427,7256,1142,914,0,285,187,0,0,0,0,0,0,461,741,0,0,1093,0,0,382,0,0,0,0,0,187,556,308,0,0,0,0,0,0,0,0,0,0,0,363,0,464,0,0,0,0,0,438,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,603,0,0,448,0,0,0,385,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,411,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0
CE_20:3,MLPRJPSMAFZPLA-PJSAOELNSA-N,,8852,2550,34694,32554,14672,19776,15143,16162,12050,33363,18742,0,1053,2728,16529,50758,17300,11906,13562,16718,2455,13175,19274,0,18914,1935,27499,29410,31329,11443,20502,37560,29763,40664,17979,270,26545,19533,19099,8178,2510,18707,6569,27565,29285,30138,18977,360,29484,24162,8720,28410,502,16365,10730,13508,9363,5606,18470,0,8653,10372,28493,1016,12489,26579,1769,15062,12088,777,14657,0,15632,17626,17559,19724,25429,12742,7510,25009,15754,1323,17708,259,10804,15175,12767,12866,10082,6535,12282,2056,3847,5340,17532,246,12583,29037,12141,19331,17978,0,6982,11165,19246,23125,29850,31432,34681,37243,12131,20632,21047,0,15437,44411,3609,2779,817,31532,9996,6417,31272,1587,20758,469,29702,9999,1252,41572,10224,631,16113,25104,13325,19322,18836,314,18643,14782,33994,3737,4241,2905,26818,26767,10351,12295,20090,408,14551,33965,16931,26671,15708,29326,9082,34971,7794,32028,14213,37643,23552,11421,32015,14727,21852,248,4380,20732,14708,26840,17413,361,2126,11855,387,6265,11014,0
CE_20:3,MLPRJPSMAFZPLA-PJSAOELNSA-N,,791,443,1449,1095,1552,1035,2826,7095,6529,15898,12450,260,1012,2831,13385,45887,16657,11272,13365,14433,1649,13468,15598,252,17559,1935,23270,22266,23818,10963,15151,31030,24836,37382,18433,0,20624,16428,17231,6466,2141,14438,6174,19159,21566,23934,14674,235,22869,19604,6275,19359,417,7612,6527,7916,9609,5822,9373,0,4420,5250,16075,1016,6596,18046,1743,18494,14113,777,18364,0,4875,7290,18604,23528,27035,12038,6807,28115,6959,1323,5621,0,4436,16285,5827,14993,10786,6933,13699,1936,914,1668,17104,246,13105,29190,12432,18452,8613,190,7306,10974,20655,23490,30985,34043,36342,39306,12382,21974,21856,345,15067,46620,3846,2927,878,33532,10785,6161,31971,1587,21837,0,29164,10510,1682,41699,10807,854,18937,26972,14074,22495,22545,0,22119,18071,36034,5331,4754,3422,28296,26718,10494,12671,21060,408,14349,33694,17598,27509,16807,31481,8717,38991,7958,31653,14318,36462,24195,10737,33622,15695,20829,248,1621,20646,14108,28066,16942,361,2811,14582,443,10053,20419,0
