pool_id,Acylcarnitine_12_1,Acylcarnitine_15_3,BMP_37_7_15_1_22_6,CE_20_3,CerNS_36_3_d18_2_18_1,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_022,CSH_posESI_041,CSH_posESI_057,CSH_posESI_215,CSH_posESI_275,CSH_posESI_288,CSH_posESI_296,DG_36_4,DG_34_2_16_0_18_2,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_34_0_16_0_18_0,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_35_2_17_0_18_2,DGDG_35_3_17_0_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_3_18_0_18_3,DGDG_36_4_18_1_18_3,DGDG_36_6_18_3_18_3,DGDG_38_2_20_0_18_2,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,DGDG_40_2_22_0_18_2,DGDG_42_2_24_0_18_2,DGDG_42_3_24_0_18_3,DGDG_43_3_25_0_18_3,DGDG_44_2_26_0_18_2,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_40_3_d18_2_22_1,GlcCerNS_42_3_d18_2_24_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,LPC_20_5,MGDG34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_4_18_2_18_2,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_1_16_0_22_1,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_31_0,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_0,PC_34_1,PC_34_2,PC_34_4,PC_35_2,PC_36_1,PC_36_2,PC_36_3_A,PC_36_4_C,PC_36_5_B,PC_38_2,PC_38_3,PC_38_5_A,PC_34_2_16_0_18_2,PC_34_3_16_0_18_3,PC_36_5_18_2_18_3,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_4_18_2_20_2,PC_38_5_20_2_18_3,PC_42_3_16_1_26_2,PE_34_2,PE_p38_5_o38_6,PE_34_1_16_0_18_1,PE_34_4_16_1_18_3,PE_36_2_18_0_18_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PE_38_7_22_3_16_4,PE_42_2_21_1_21_1,PE_42_3_26_0_16_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_3_16_0_18_3,PG_34_4_16_0_18_4,PG_34_4_16_1_18_3,PG_34_5_16_1_18_4,PG_36_6_18_3_18_3,PlasmenylPC_32_2_P14_0_18_2,PlasmenylPC_35_2_P14_0_21_2,PlasmenylPC_36_2_P14_0_22_2,SM_d40_1,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_32_0_16_0_16_1,SQDG_34_0_16_0_18_1,SQDG_34_2_16_0_18_3,SQDG_35_2_17_0_18_3,SQDG_36_2_18_0_18_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_14_0_14_0_14_0,TG_46_0,TG_46_1,TG_46_2,TG_48_0,TG_48_1,TG_48_2,TG_49_0,TG_49_1,TG_49_2,TG_49_3,TG_50_0,TG_50_5,TG_52_3,TG_52_4,TG_52_5,TG_53_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_3,TG_56_6,TG_58_6,TG_46_3_12_1_12_1_22_1,TG_46_7_14_2_15_3_17_2,TG_48_3_14_0_16_0_18_3,TG_48_5_12_0_18_2_18_3,TG_50_1_16_0_16_0_18_1,TG_50_2_16_0_16_0_18_2,TG_50_3_16_0_16_0_18_3,TG_52_1_16_0_18_0_18_1,TG_52_2_16_0_18_1_18_1,TG_52_3_16_0_18_1_18_2,TG_52_4_16_0_18_2_18_2,TG_52_5_16_0_18_2_18_3,TG_52_6_16_0_18_3_18_3,TG_53_14_16_5_16_5_21_4,TG_53_5_17_0_18_2_18_3,TG_54_1_18_0_18_0_18_1,TG_54_2_18_0_18_1_18_1,TG_54_4_18_1_18_1_18_2,TG_54_5_18_1_18_2_18_2,TG_54_7_18_2_18_2_18_3,TG_54_9_18_3_18_3_18_3,TG_55_2_16_0_18_1_21_1,TG_56_4_18_2_18_2_20_0,TG_56_5_18_2_18_3_20_0,TG_56_6_18_2_18_2_20_2,TG_56_7_18_2_18_3_20_2,TG_58_15_14_3_22_6_22_6
pool_10,27410,42289,4045,21457,7878,6009,11317,15048,41528,2031,9656,5489,7579,6349,5788,40831,39899,6970,24062,92890,55852,177425,3500,7595,29913,336554,13665,10678,57662,7706,32485,750371,101380,1701928,3618,8206,45303,4205,8927,4983,3448,10792,21260,95022,39966,18318,48997,6701,35234,670149,438270,3136,5478,77835,834661,25279,16789,41342,24461,403447,1387582,16894,28815,12755,37981,3749,39873,7151,13886,36718,3864,383643,102981,21789,63443,34855,255928,408039,24915,12152,7062,12867,13042,6046,1644765,1519892,66142,773719,7800,32339,16791,207263,10489,28961,34606,4700,19462,38234,13907,7025,6348,5634,118805,141590,202287,446652,938160,3005,6108,6425,57170,12246,153753,6152,13722,15074,7934,11990,6503,6391,1173188,7984,80928,465392,35648,2737,4500,10732,5603,12028,17386,13045,4446,7906,5638,1878,7022,3014,3692,90655,85841,2331,7064,3257,7892,273625,432318,1593,3789,14096,69177,25825,4418,205,5938,26585,22763,5116,15074,29644,111183,185947,206023,16860,2701,2797,5067,17056,59801,493698,38084,855,2853,3811,4927,4097,8296
pool_11,26085,41438,5388,21327,7847,10424,10818,14562,39589,1960,9153,5646,10713,11611,5850,25825,38935,6645,25237,91118,53851,181666,3466,9783,28352,316655,13289,10467,56113,8236,32679,729101,99996,1639390,3451,7806,43768,2926,12079,5289,3498,7104,19456,94401,37021,18150,48841,6060,33660,642575,421016,3175,5987,75266,779652,28433,15932,41286,23878,390674,1709345,17064,29654,12138,35288,5597,28567,7025,13797,35713,3363,372540,102650,22329,62978,35301,261116,395286,35565,10406,8984,12616,12393,18011,1573876,1484692,65202,737264,25986,30921,9560,205817,10086,34685,35190,5094,18844,37829,13534,6856,6892,5275,112976,138777,196033,445620,914926,3389,6222,5797,54453,12815,268321,6328,13305,14034,2186,11877,6248,6373,1155209,7143,82790,456414,35087,2926,6613,11128,7250,10737,20655,10954,5041,8138,5427,2120,6910,2893,3546,115480,156954,2124,8871,3209,7618,230284,429082,1757,3709,14453,66422,25194,4549,4115,4073,26485,21255,4910,14029,31534,111339,181360,200367,25618,2542,4091,5326,21334,64186,476785,37945,824,2564,4010,4944,4096,8281
pool_12,28197,42929,4150,20874,7401,10416,11416,14678,41103,2079,9992,5612,10334,12055,5186,41500,40009,7097,17050,96499,55956,185359,3467,9462,32183,321067,13697,10594,58102,8398,16800,752601,99583,1694122,1355,8225,45692,4325,11277,5594,4489,6886,20890,87929,38103,17897,49275,6256,35223,673508,136800,2940,6132,79497,809374,21626,16574,42652,23129,403071,1589015,16730,29524,12688,37098,3450,46323,7496,13910,36556,3506,385397,102982,21800,63811,35700,131899,405858,25207,7539,9392,13948,12798,18691,1647636,1530083,65127,769078,27091,31519,8861,207990,11285,21699,35054,4858,19111,37702,13423,7020,6656,5517,118020,140904,200569,460402,934314,3658,6567,6351,53169,12259,281537,6164,13356,15130,7802,12055,6215,6397,1187464,7708,83035,467576,35690,2416,10525,10734,8453,12603,17315,15091,5349,7960,5992,2126,9150,3102,3758,97647,171415,2050,9483,3253,8259,237211,430085,1774,3371,14236,69334,25658,4574,4027,4058,27043,21713,5056,14620,30860,114190,185504,209337,27626,2752,4746,4871,21872,61239,486525,39200,851,3009,3749,4904,4193,8889
pool_13,25549,40073,4336,21206,7298,4903,10816,13624,40035,1818,9100,5519,10182,11693,5898,22216,37347,6133,23121,87656,53092,174548,3163,9789,29510,309678,13207,10062,55199,7553,33659,721755,99477,1632825,3213,7806,43786,4111,11805,5126,3340,10161,19516,95820,37969,17984,47247,5996,33674,638362,417205,3057,5758,73907,779653,30086,16837,39404,19570,388628,1871347,16166,28093,12440,33237,2693,44343,6874,13717,34856,3920,370506,99421,21287,61401,33918,278263,393421,32986,9553,8784,12943,12896,18012,1645470,1456516,63318,735975,25789,30584,8651,200882,10103,19418,33012,4485,18874,37256,13778,6502,5968,5495,112954,136477,196692,427708,904677,3293,6075,5773,50318,12189,268639,5896,13319,13569,7777,11514,6233,6170,1124027,7080,76272,447029,34514,2872,9452,8940,4514,11715,17304,9386,4750,7753,5248,1853,8774,3588,3523,118324,142831,2271,9264,3580,8541,228113,420827,2111,3508,14826,66458,25054,4328,4053,5199,25795,21060,4954,14048,31686,110518,181761,197198,25582,2477,3328,5066,21555,53666,473706,37812,821,2642,3917,4862,3829,7860
pool_14,27443,42421,4716,21206,7596,9644,11118,15805,40702,2149,9862,5310,6207,11632,6165,39844,39723,7097,24924,94349,55812,177507,3628,9697,21487,316251,13661,10008,55254,7812,35724,737283,99827,1685814,3335,8126,44099,2225,11372,5464,3316,10548,20099,53747,37283,17676,49321,6904,34703,663822,435080,3796,5486,76853,796885,24168,16088,42491,19102,397905,1358843,18091,28974,13295,35770,5252,30818,7311,13502,36925,3617,377506,103667,22196,63155,34310,295101,409892,32687,7504,9360,13687,12234,18374,1622067,1516614,66349,752075,26586,31709,10027,206569,10526,31160,35155,4993,19223,38009,13563,7432,6573,5340,117390,140866,197562,438107,931265,3654,6106,6378,50734,12330,274436,5476,13659,15086,7633,11975,6159,6272,1179681,7497,81269,465053,35435,2738,10657,13560,9470,12910,18468,7399,4672,8002,4006,2346,7149,2899,3765,120759,165553,2310,9163,3157,8519,236551,431350,1647,3519,13554,67975,25550,4995,4466,4036,27094,22670,4771,15505,29844,100822,183113,205159,26535,2789,4254,5114,21035,67669,482395,38218,847,2481,3806,4928,4197,7996
pool_15,26739,42189,3420,17847,7145,9661,11104,11395,40722,1854,9576,5491,10607,11750,4305,34602,39066,6711,24074,92299,54227,178830,3325,9868,36274,316811,13382,10512,56656,8009,24584,742847,99883,1658564,3661,7954,45251,4708,12898,5369,3495,11941,19782,91401,37980,17673,48025,6295,34519,655294,428590,1184,5946,78389,794899,15423,17045,40596,25266,396536,1850486,16973,29092,12662,36572,4434,44923,7118,13977,34898,3465,377145,101229,21151,63208,36007,197982,382968,28665,12403,8953,11968,12557,18490,1645144,1353357,64455,753225,26549,31013,7926,204419,10056,30587,34299,4707,18967,37819,13469,6420,6789,5588,116347,139694,200624,442225,920126,2691,6724,6147,52816,12331,276155,6395,13153,13627,7500,11992,6473,6240,1142402,7247,78391,455155,34845,2673,9854,7683,4640,9890,19587,14055,4954,7775,3364,1813,5130,2605,3644,117425,62263,1964,8871,3327,6537,223226,425095,52,3850,13722,67818,25248,4251,3402,3553,26317,22980,4032,14089,31006,112800,182845,201407,26568,2715,4430,2949,22073,57924,479871,38601,834,2949,3789,4680,4059,7683
pool_16,27144,41406,6059,21515,9212,11497,10948,13704,40429,2130,9075,5146,6248,11801,7423,35413,39217,6086,24800,89981,55489,178650,4010,9827,30452,315792,13766,10379,56613,7949,27403,734866,100692,1672550,3774,8094,44080,4295,9187,5613,3505,9956,20669,96207,38620,18755,49283,6242,34955,663226,432272,2845,6027,75207,793798,24126,16024,40710,23381,397334,1540761,16565,29097,10731,35540,4793,30911,6890,13764,35852,3601,380400,102497,22683,62953,34129,217158,431704,27318,8059,9253,13027,12789,18122,1530583,1506528,64414,749710,27016,31723,9782,205508,10357,16678,34220,4958,18631,36937,13683,7052,6127,5283,115058,139876,196932,446299,923745,3815,5897,6289,51681,12375,273985,2980,13549,14507,7953,11019,6223,6886,1168383,7455,81739,462736,35894,2939,10411,13786,4527,13002,17160,13172,4991,8154,6159,2485,12234,3209,3466,121015,159246,2622,9710,3631,8028,239402,432026,1832,4574,14138,68602,25239,4692,4141,4555,26864,21999,5701,13452,30687,107971,182661,202917,26487,2593,4456,5286,22338,62068,482982,38075,841,2837,3989,5100,3952,9039
pool_17,26442,40629,3213,20794,7076,9614,11060,14449,20649,1705,6960,5417,7093,12296,5175,34994,36643,6963,23593,88240,54522,173468,3464,9180,27875,311832,13512,10741,56280,8038,29855,726834,97976,1651484,3238,7899,43863,3376,9251,5574,3363,9001,19351,90073,36741,17827,47781,6535,33806,651542,428298,2472,5473,75763,779321,26928,15989,40331,21868,391684,1844481,17030,28402,12124,35297,2637,43866,6882,13301,35801,3711,374916,100706,21230,61526,34352,229367,431658,25946,12248,9037,12504,12239,18640,1627353,1473066,66145,746291,25739,30533,8293,201573,10471,28380,35072,1953,19072,37278,13337,7129,6509,5515,114571,136898,197966,429813,916736,2668,6154,1606,51212,11930,270711,6134,13670,14623,7584,12628,6128,5899,1148128,7323,76999,452585,34273,2671,10356,9522,8729,9978,17702,11692,4619,7706,6293,2317,5756,2979,3694,116266,47295,2119,8933,1783,9481,224614,425085,1955,3327,14699,65585,25556,4402,3916,4481,25894,22267,5173,17917,31280,118856,178489,201553,26082,2434,3763,4823,21675,59900,465536,36671,849,2538,4173,4878,2753,8920
pool_18,26624,42844,4070,21027,6854,9895,11599,15366,40750,1995,12147,5865,11173,11990,4574,38154,39266,7506,24207,90991,53658,178910,1027,10480,28885,321976,12820,10166,57536,7487,28253,756950,101041,1694232,3568,8074,45239,3872,10982,5264,3630,12691,20339,93762,36932,18353,48219,6175,33249,635730,411456,3325,5717,76280,819116,26352,17304,43241,22540,396603,1492812,16677,28601,13686,36413,4392,46176,7334,13952,36094,3698,369995,102909,21066,62258,35103,263748,452351,26752,13999,9179,14239,12303,17799,1544437,1520302,67398,755923,26263,31907,12226,211686,10037,28451,33787,4631,20814,40426,14576,6997,6944,5691,118635,140979,199622,450254,930718,2767,5727,7457,51182,12727,276124,3022,13104,14648,8001,13153,6800,6103,1166749,7454,80680,462437,35387,2432,9762,9350,7226,10802,17486,13156,4545,7994,4669,2347,3773,2949,3673,114179,155030,1947,8798,4010,6677,202319,418775,1416,4339,15742,68589,25721,4500,4188,4390,27280,20320,4763,11614,30642,106726,182694,199490,25792,2886,4333,5223,20165,59873,458809,38594,795,2747,3447,4837,4146,7516
pool_20,26972,41228,5660,21159,8016,10180,10421,14400,40320,2110,10144,5286,10980,11350,6822,26129,40859,6931,24681,96699,55555,185775,3116,9469,29532,311469,14070,10607,59524,7783,30070,730598,100076,1641319,1712,7878,44164,3245,13845,5162,3234,11016,20027,94435,39383,17727,49368,6256,36447,680738,448590,3467,5771,78102,781336,25019,16430,40559,24448,397854,1528687,16074,29407,12340,37295,5182,20884,7349,13942,37033,3571,385537,100831,22472,64715,35477,217038,398053,34111,6672,8888,8973,12865,18606,1623230,1484228,61184,743392,27058,31269,6937,199892,10258,28666,33821,4995,17088,35305,12723,6466,6047,5332,113056,139680,197461,450530,912938,3604,6446,6884,52212,12013,275620,6480,13595,14537,8440,9572,6280,6535,1151756,7058,80099,456386,35376,3102,10231,12289,6119,13825,20074,11889,5086,7833,6303,715,8642,2916,3557,120075,160975,2255,9256,4016,7221,222999,435401,1462,2829,11136,68444,24738,4042,4140,3791,26148,18943,5109,14802,29331,102478,181759,207423,27445,2493,4384,5089,22069,61661,504369,43612,1332,2708,3376,4787,2750,7950
