ID,GENOTYPE,metabolite,intensity
4,B73,acylcarnitine_15_3,211994
5,B73,acylcarnitine_15_3,268282
7,B73,acylcarnitine_15_3,201146
12,B73,acylcarnitine_15_3,142215
14,B73,acylcarnitine_15_3,355860
17,B73,acylcarnitine_15_3,330465
20,B73,acylcarnitine_15_3,325712
22,B73,acylcarnitine_15_3,316604
28,CML312,acylcarnitine_15_3,114181
29,CML312,acylcarnitine_15_3,419106
30,CML312,acylcarnitine_15_3,530753
31,CML312,acylcarnitine_15_3,681485
32,CML312,acylcarnitine_15_3,238403
33,CML312,acylcarnitine_15_3,341463
34,CML312,acylcarnitine_15_3,460752
35,CML312,acylcarnitine_15_3,241407
40,PT,acylcarnitine_15_3,202906
41,PT,acylcarnitine_15_3,162616
42,PT,acylcarnitine_15_3,150038
43,PT,acylcarnitine_15_3,171610
44,PT,acylcarnitine_15_3,151757
45,PT,acylcarnitine_15_3,171524
46,PT,acylcarnitine_15_3,97646
47,PT,acylcarnitine_15_3,83946
4,B73,BMP_37_7_15_1_22_6,24250
5,B73,BMP_37_7_15_1_22_6,23402
7,B73,BMP_37_7_15_1_22_6,24870
12,B73,BMP_37_7_15_1_22_6,13950
14,B73,BMP_37_7_15_1_22_6,18552
17,B73,BMP_37_7_15_1_22_6,24637
20,B73,BMP_37_7_15_1_22_6,26504
22,B73,BMP_37_7_15_1_22_6,11007
28,CML312,BMP_37_7_15_1_22_6,17244
29,CML312,BMP_37_7_15_1_22_6,23083
30,CML312,BMP_37_7_15_1_22_6,27081
31,CML312,BMP_37_7_15_1_22_6,25732
32,CML312,BMP_37_7_15_1_22_6,19172
33,CML312,BMP_37_7_15_1_22_6,4039
34,CML312,BMP_37_7_15_1_22_6,7286
35,CML312,BMP_37_7_15_1_22_6,24433
40,PT,BMP_37_7_15_1_22_6,20285
41,PT,BMP_37_7_15_1_22_6,26563
42,PT,BMP_37_7_15_1_22_6,21770
43,PT,BMP_37_7_15_1_22_6,32439
44,PT,BMP_37_7_15_1_22_6,13183
45,PT,BMP_37_7_15_1_22_6,16927
46,PT,BMP_37_7_15_1_22_6,22206
47,PT,BMP_37_7_15_1_22_6,20372
