ID,FIELD,GENOTYPE,TG_50:3,TG_52:4,TG_52:5 ,acylcarnitine_15:3,LPC_18:3 ,LPC_18:2,LPC_16:0,LPC_18:1,LPC_18:0,PC_16:0_9:0_CHO ,BMP_37:7__15:1_22:6,PG_34:5__16:1_18:4,SM_39:10__d17:3_22:7,CSH_posESI_027,MGDG_36:6__18:3_18:3,PG_36:7__18:3_18:4,DGDG_35:6__17:2_18:4,SQDG_38:5__18:3_20:3,SQDG_36:4__18:2_18:3,SQDG_34:3__16:1_18:3,DGDG_34:5__16:2_18:3,PE_36:6__18:3_18:3,MGDG_34:6__16:3_18:3,SM_39:9__d16:3_23:6,PC_36:6__18:3_18:3,MGDG_36:6__18:3_18:3,SQDG_34:2__16:0_18:3,PG_34:4__16:0_18:4,DGDG_35:5__17:2_18:3,SQDG_45:1__18:2_18:2,MGDG_36:7__18:3_18:4,MGDG_36:6__18:3_18:3,DGDG_34:4__16:1_18:3,PC_36:5_A ,DGDG_33:3__15:0_18:3,PE_36:5__18:2_18:3,DGDG_38:6__18:3_20:3,PC_34:4,DGDG_34:4__16:1_18:3,SQDG_36:2__18:0_18:3,PC_32:2,GlcCerNS_34:3__d18:2_16:1,PG_34:2__16:0_18:2,MGDG_34:4__16:1_18:3,PC_34:3,PC_36:6__18:2_18:4,SQDG_42:1__16:0_16:0,PC_36:4_A,DGDG_36:4__18:1_18:3,PG_32:1__16:0_16:1,MGDG_36:6__18:2_18:4,PC_33:2,DGDG_38:5__20:1_18:4,MGDG_38:6__18:3_20:3,MGDG_34:4__16:1_18:3,CSH_posESI_288,PC_36:4_B ,PC_32:1,DGDG_35:3__17:0_18:3,PC_38:5_A ,PG_32:0__16:0_16:0,CSH_posESI_296,DGDG_32:1__16:0_16:1,DG_36:6__18:3_18:3,DGDG_34:2__16:0_18:2,MGDG_34:3__16:0_18:3,GlcCerNS_36:3__d18:2_18:1,PC_36:3_A ,PE_34:2,PC_38:4__18:2_20:2,CSH_posESI_041,PC_36:3_B ,MGDG_38:5__20:2_18:3,PE_32:0__16:0_16:0,PC_35:2,MGDG_36:6__18:3_18:3,MGDG_35:3__17:0_18:3,SM_40:5__d16:1_24:4,PE_36:3__18:0_18:3,CSH_posESI_004,DGDG_32:0__16:0_16:0,plasmenylPC_35:2__P14:0_21:2,DG_36:5__18:2_18:3,DGDG_34:1__16:0_18:1,SM_40:4__d16:2_24:2,MGDG_34:2__16:0_18:2,PC_34:1,MGDG_36:3__18:1_18:2,DG_34:4__16:1_18:3,DGDG_36:2__18:0_18:2,PC_36:2 ,MGDG_36:3__18:0_18:3,PC_38:3 ,plasmenylPC_36:2_P14:0_22:2,DG_36:4,PC_35:1,CerNS_38:3__d18:2_20:1,GlcCerNS_38:3__d18:2_20:1,DG_36:4__18:2_18:2,MGDG_34:1__16:0_18:1,DG_34:3__16:0_18:3,PC_34:0 ,PC_36:1,PC_38:2,CSH_posESI_022,TG_58:14__19:5_19:5_20:4,TG_54:8,TG_50:5,TG_52:6,TG_50:4 ,TG_53:5 ,TG_49:2 ,TG_53:4 ,TG_54:5,TG_50:2,TG_52:3 ,TG_54:4 ,TG_54:4 ,TG_54:2,TG_56:2 ,TG_54:1 
1,METEPEC,B73,107997,696897,1027598,343759,660183,2571915,50263,179325,11244,23367,26355,22095,18727,283972,22126,3563,27549,3588,777639,14468,4767,26667,26168,24915,963969,1152892,2217899,1102580,5826,121854,37165,25138,20299,3138784,14876,121316,89979,55360,38725,116712,30838,47109,458476,65110,2703353,53494,1090664,2750848,148472,228364,53282,93197,15996,60957,40251,21563,15157,26718,72113,16865,171766,24545,8480,218290,398342,957053,140968,602093,541137,74195,85111,537227,26451,54370,111084,1008264,34298,24810,11641,22157,247745,15899,235492,82366,11140,185865,812859,41072,16770,110985,711518,97146,47949,543353,13867,11897,30422,231062,118933,19284,139137,9762,33210,19653,21025,23069,1189733,22488,23147,12872,13485,8362,10968,178987,352090,12336,124841,13067,2794,9754,21553
2,METEPEC,B73,98949,631504,909939,443370,629693,1610495,83848,148260,17386,23863,26528,21686,28127,298388,25143,5236,29142,12212,928908,18889,7932,31172,29819,26183,878668,1329162,2707384,1114090,10182,140713,39878,19307,29140,2990812,14669,122053,96343,60402,41083,186365,35812,61073,465812,73617,2519341,46737,1139248,2569467,173400,230048,50425,109894,15114,53594,51715,22706,7600,27897,93297,13992,180294,39090,10327,152823,467756,948970,227637,572872,540983,73828,94084,545085,33295,140202,120614,1015884,50092,30819,17740,21888,234129,24306,175054,83637,8127,185568,818515,42052,21670,117525,721624,119748,48676,697904,12184,13280,37364,299385,101326,18872,126213,10035,36615,21180,15282,22973,1066633,21034,11596,12887,12558,7712,9961,159870,349512,11392,114678,11740,2795,8206,20403
3,METEPEC,B73,84250,537775,780326,223201,982274,2852359,86848,143333,12700,17825,21358,17715,25697,329835,13878,10693,28835,17869,465183,14491,9699,23168,37505,24320,853042,1036173,2866234,1201978,10230,138668,53949,25888,47051,3119408,10274,123350,137572,62690,42123,215120,34735,52293,448411,78966,2551854,41722,1358316,2597937,225644,231134,61089,81882,20365,82192,55000,22181,16576,24490,78311,20724,173725,30064,9115,138257,630097,1109747,140412,511635,507723,68752,80640,498922,34444,144205,96650,814586,39781,26483,19152,9932,306037,17056,202329,75205,18816,187607,663566,42304,19455,105193,598323,142365,40097,606263,8770,11730,31470,256409,94100,17366,108553,9504,28328,15570,11943,19430,941521,19635,10439,11848,10177,6948,8742,140256,278732,9796,98790,9887,2220,7809,17010
4,METEPEC,B73,80258,665228,914281,211994,945018,2783955,55526,127992,10894,17209,24250,16608,24830,298808,19986,11141,27202,13180,897155,17761,8884,19030,31787,20560,803198,464985,2712145,1070243,12705,130370,42881,20500,39808,3068852,11998,92157,110025,45565,34065,188371,35670,55915,372066,53374,2374786,43129,1504714,2907917,272572,219065,64089,45383,20052,80220,45140,20672,19115,22912,81881,15603,143218,21542,6542,169857,921228,1284819,164366,546364,412633,68766,60666,454028,30613,5914,96481,728618,43427,39858,10033,5789,278753,21092,294251,83814,21801,218809,593424,42869,16960,117342,554926,128444,35411,611339,16243,9275,32653,280776,128163,12483,119441,9807,30878,20399,19714,20344,1282372,26059,15885,13857,9275,6733,10364,181154,250577,3915,102914,9347,1994,5743,12829
5,METEPEC,B73,78811,624070,929579,268282,1249742,4191933,110211,268187,13207,26562,23402,22759,29379,325872,19269,12982,25776,14265,615634,16793,8460,1575,25280,21257,578673,1035072,2664902,1293602,12643,107953,27780,21600,23577,2494230,12513,44489,99689,47623,42367,186830,34838,65165,348150,55754,2159031,46125,1221163,2656683,215398,221059,47456,65664,12192,63113,29721,9579,18034,16960,58034,14139,148623,30514,6923,223686,835572,1272222,122797,542129,262449,68047,61110,429371,27335,59566,100707,910131,41199,24198,7500,9840,254314,18188,306141,90137,6344,195964,602631,36199,19562,125667,563691,113708,33221,697155,14941,11605,33392,303070,114159,17038,123413,8434,29445,18847,21872,12104,836169,29980,20660,10602,8549,7252,8326,168480,46544,5123,106859,7367,2132,2795,3035
6,METEPEC,B73,22815,298796,420988,142697,541412,1665912,106766,67655,10048,20510,29966,16323,27402,331687,23082,14097,33854,20935,1326140,17341,12489,18583,50164,25082,724378,1099748,3598864,1172437,18658,154473,66778,30776,53071,3365000,12125,111600,174658,56338,80721,244691,36255,53410,397445,72756,2380806,49462,1730224,2668187,350917,210544,77696,108305,28034,136914,103212,26478,27824,22434,108280,25777,161435,15482,12483,174068,1109733,1655174,139005,443967,361177,49895,67710,438176,43576,64173,64071,815143,58318,35481,11774,20864,370547,14796,192113,88733,21958,317471,474718,58943,12431,151162,480670,219725,22627,614715,9018,5229,29754,250115,70176,21228,63596,8942,23705,15607,13578,14986,678639,8647,9303,4335,3074,3257,2508,97903,166351,6207,60686,6589,2261,3390,13740
7,METEPEC,B73,54995,402665,589071,201146,926567,2895256,75937,138510,13713,28635,24870,12333,33820,308222,17545,12985,35849,15687,1048331,17656,12910,17399,53042,17294,714552,1408004,2769758,1111089,14562,127661,53553,17343,54873,3138801,15105,116528,143974,48456,44982,210518,34946,61500,332954,52014,2189810,32027,1669258,2575401,292796,212787,80192,67325,20099,103737,74983,22803,16460,23641,100563,20693,135248,20300,9448,185885,788650,1467260,151334,530536,458595,62719,53712,404848,32243,25834,85273,621918,51363,35814,11879,11716,339497,18411,302117,82379,23742,239114,562038,56768,19463,106370,505330,157983,31274,701127,12482,8504,32580,303727,105004,16898,95822,8203,25822,16971,24495,14695,835956,15990,8217,7593,8162,5666,6321,109538,207905,4491,64788,7017,1672,5536,12259
8,METEPEC,B73,28366,442505,677509,584683,858136,2166791,125634,162581,16550,41570,26234,18785,34758,345035,19159,6183,30088,11527,806136,16871,7994,12722,29314,19278,820150,1170247,2514717,1105740,11119,126569,31416,24789,26841,3194154,18612,109560,93961,54059,41912,166919,34736,65639,417840,54790,2719857,49022,1315195,3159454,212573,212662,50929,80311,16104,52331,41071,21621,17580,22799,76520,17033,166637,23962,8136,161474,768426,1000994,210813,597573,489196,71530,85001,487304,23078,57135,117211,535017,42893,29058,12693,15706,261962,25946,229763,74534,18516,196542,693550,39794,17263,116732,618629,117211,35641,829461,11043,16169,40056,352877,99761,17214,106920,9068,31401,21816,18420,22135,1068551,18924,15784,7385,7065,6685,4291,154310,203891,4999,89789,6064,2414,1353,13743
9,METEPEC,B73,27418,450992,643704,338234,870781,3125286,106815,187169,12451,18289,22688,15992,31023,288616,18602,12536,28747,14033,859783,14183,8603,11955,35137,19771,811280,988966,2484703,1198193,12529,126996,35625,22662,30079,3327185,10975,95448,111995,56060,46243,194174,41922,57053,397678,53802,2589306,43378,1276627,3162610,227138,224930,55141,69420,18316,61526,44372,18101,11502,26371,70112,16083,162713,36965,6729,104675,651778,1038409,146229,609226,413631,70597,59131,485566,29933,47462,97400,621646,37979,25120,10088,13597,251147,18230,226690,72273,16415,178034,650850,43301,19088,118950,678499,132422,33020,667700,10131,13324,31710,286037,101435,14687,90209,9817,32899,23364,15829,22543,1082801,23621,7976,12252,5713,5405,4013,162562,177037,6197,90514,6197,2047,1796,11971
10,METEPEC,B73,35863,621185,854862,243689,980555,2457444,131116,155285,13126,22443,28288,14630,16317,432243,23635,15041,35136,15775,582929,13847,4851,16919,34099,23591,874604,1264790,2366592,1012999,11082,123950,37616,31880,34167,3167676,20646,139174,122519,50974,50573,190812,38486,77155,448279,64003,2182224,47443,1323835,3163673,262638,161556,58989,92844,17604,53634,51217,19025,13193,26381,78594,18008,176798,46823,8176,104275,757033,848846,240637,633938,618645,71755,86628,435100,25952,54649,98402,855196,47486,25504,18045,9262,287205,31158,268928,84525,19382,214572,632863,23015,15719,135401,526645,74169,34732,949199,12969,10623,44057,395711,80706,12771,79814,8982,29205,17950,11510,17363,988138,28636,19196,15147,7116,7044,4084,147035,171740,6831,93308,5662,2619,2541,19479
